Type,OID,OID (bin),POS (BIN),POS,Diff
O,5171,0001010000110011,0000001000001000,520,4651
O,5172,0001010000110100,0000001000001001,521,4651
O,5173,0001010000110101,0000001000001010,522,4651
O,5174,0001010000110110,0000001000001011,523,4651
O,5175,0001010000110111,0000001000001100,524,4651
O,5176,0001010000111000,0000001000001101,525,4651
O,5177,0001010000111001,0000001000001110,526,4651
O,5178,0001010000111010,0000001000001111,527,4651
O,5179,0001010000111011,0000001000010000,528,4651
O,5180,0001010000111100,0000001000010001,529,4651
O,5181,0001010000111101,0000001000010010,530,4651
O,5182,0001010000111110,0000001000010011,531,4651
O,5183,0001010000111111,0000001000010100,532,4651
O,5184,0001010001000000,0000001000010101,533,4651
O,5185,0001010001000001,0000001000010110,534,4651
O,5186,0001010001000010,0000001000010111,535,4651
O,5187,0001010001000011,0000001000011000,536,4651
O,5188,0001010001000100,0000001000011001,537,4651
O,5189,0001010001000101,0000001000011010,538,4651
O,5190,0001010001000110,0000001000011011,539,4651
O,5191,0001010001000111,0000001000011100,540,4651
O,5192,0001010001001000,0000001000011101,541,4651
O,5193,0001010001001001,0000001000011110,542,4651
O,5194,0001010001001010,0000001000011111,543,4651
O,5195,0001010001001011,0000001000100000,544,4651
O,5196,0001010001001100,0000001000100001,545,4651
O,5197,0001010001001101,0000001000100010,546,4651
O,5198,0001010001001110,0000001000100011,547,4651
O,5199,0001010001001111,0000001000100100,548,4651
O,5200,0001010001010000,0000001000100101,549,4651
O,5201,0001010001010001,0000001000100110,550,4651
O,5202,0001010001010010,0000001000100111,551,4651
O,5203,0001010001010011,0000001000101000,552,4651
O,5204,0001010001010100,0000001000101001,553,4651
O,5205,0001010001010101,0000001000101010,554,4651
O,5206,0001010001010110,0000001000101011,555,4651
O,5207,0001010001010111,0000001000101100,556,4651
O,5208,0001010001011000,0000001000101101,557,4651
O,5209,0001010001011001,0000001000101110,558,4651
O,5210,0001010001011010,0000001000101111,559,4651
O,5211,0001010001011011,0000001000110000,560,4651
O,5212,0001010001011100,0000001000110001,561,4651
O,5213,0001010001011101,0000001000110010,562,4651
O,5214,0001010001011110,0000001000110011,563,4651
O,5215,0001010001011111,0000001000110100,564,4651
O,5216,0001010001100000,0000001000110101,565,4651
O,5217,0001010001100001,0000001000110110,566,4651
O,5218,0001010001100010,0000001000110111,567,4651
O,5219,0001010001100011,0000001000111000,568,4651
O,5220,0001010001100100,0000001000111001,569,4651
O,5221,0001010001100101,0000001000111010,570,4651
O,5222,0001010001100110,0000001000111011,571,4651
O,5223,0001010001100111,0000001000111100,572,4651
O,5224,0001010001101000,0000001000111101,573,4651
O,5225,0001010001101001,0000001000111110,574,4651
O,5226,0001010001101010,0000001000111111,575,4651
O,5227,0001010001101011,0000001001000000,576,4651
